,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,vO_reported,vO_SD_reported,kon_C,kon_C_95CI_low,kon_C_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
221,Flaveria cronquistii,cronquistii_perdomo,1,0,False,9.7,0.1,2.95,0.1,88.2,1.2,,,,,,,,0.304,0.283,0.326,,,,22.3,1.1,25,,1,C3 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
222,Flaveria floridana ,floridana_perdomo,1,0,False,11.9,0.2,2.86,0.1,84.3,1.4,,,,,,,,0.24,0.222,0.26,,,,21.9,0.9,25,,1,C3-C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
223,Flaveria angustifolia ,angustifolia_perdomo,1,0,False,12.5,1.1,2.77,0.05,90.4,2.5,,,,,,,,0.221,0.188,0.27,,,,20.2,0.5,25,,1,C3-C4 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
224,Flaveria pringlei,pringlei_galmes,1,0,False,11.4,1,2.48,0.27,90.1,1.4,,,,,,,,0.217,0.163,0.287,,,,23.6,1.7,25,,1,C3 plants,,Perdomo 2015,25663529,"Perdomo JA, Cavanagh AP, Kubien DS, Galmes J. 2015. Temperature dependence of in vitro Rubisco kinetics in species of Flaveria with different photosynthetic mechanisms. Photosynthesis Research 124, 67–75."
225,H. vulgare cv. Lenins,vulgare_lenins_prins,1,0,False,15.2,2.4,3.99,0.237,102,5.2,465,27.8,1.2,0.853,1.81,1.2,,0.262,0.195,0.385,0.00258,0.00188,0.00385,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
226,Aegilops cylindrica,cylindrica_prins,1,0,False,13.7,2.9,3.68,0.219,109,3.8,451,11.4,1.12,0.759,1.97,1.11,,0.269,0.186,0.473,0.00248,0.00169,0.00437,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
227,T. aestivum SATYN3,aestivumSATYN3_prins,1,0,False,15.7,2.2,3.64,0.216,92.9,5.9,379,13.5,0.949,0.696,1.36,0.95,,0.232,0.177,0.323,0.0025,0.00185,0.00354,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
228,Triticale (Cando),triticale_cando_prins,1,0,False,16.1,2.4,3.62,0.215,99.7,5.1,384,4.7,0.87,0.642,1.27,0.87,,0.225,0.169,0.324,0.00227,0.00167,0.00332,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
229,T. aestivum (C),aestivumC_prins,1,0,False,16,1.2,3.57,0.212,100,6,402,8.4,0.899,0.72,1.14,0.93,,0.224,0.185,0.271,0.00224,0.0018,0.00281,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
230,T. dicoccon2,dicoccon2_prins,1,0,False,13.5,2.3,3.57,0.212,90.9,1.7,397,21.9,1.15,0.824,1.78,1.16,,0.263,0.194,0.404,0.00289,0.00213,0.00445,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
231,T. dicoccon1,dicoccon1_prins,1,0,False,15.4,2.1,3.55,0.211,94.1,3.8,399,10.5,0.975,0.738,1.37,0.98,,0.23,0.177,0.319,0.00245,0.00186,0.00343,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
232,T. dicoccon4,dicoccon4_prins,1,0,False,18.6,2.7,3.55,0.211,93.8,3.2,485,48.8,0.984,0.691,1.45,0.99,,0.191,0.145,0.269,0.00204,0.00154,0.0029,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
233,T. timonovum,timonovum_prins,1,0,False,16.8,3.3,3.48,0.207,101,3.2,495,34.7,1.02,0.695,1.71,1.14,,0.208,0.147,0.344,0.00207,0.00145,0.00343,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
234,Triticale (Rotego),triticale_rotego_prins,1,0,False,15.1,2.4,3.46,0.206,96.8,3.1,369,11.5,0.874,0.642,1.3,0.87,,0.229,0.17,0.336,0.00237,0.00175,0.00348,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
235,T. timopheevii,timopheevii_prins,1,0,False,16.2,2.3,3.43,0.204,102,2.8,429,4.6,0.89,0.672,1.27,0.89,,0.211,0.16,0.299,0.00207,0.00157,0.00295,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
236,T. dicoccon3,dicoccon3_prins,1,0,False,16.8,2.5,3.36,0.2,95.2,4.2,456,37.3,0.957,0.673,1.42,0.95,,0.2,0.15,0.289,0.0021,0.00156,0.00306,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
237,Triticale (Talentro),triticale_talentro_prins,1,0,False,15.8,2.8,3.36,0.2,95.2,2.6,436,6.7,0.973,0.705,1.53,1.02,,0.213,0.155,0.334,0.00224,0.00162,0.0035,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
238,T. aestivum SATYN2,aestivumSATYN2_prins,1,0,False,17.9,2.8,3.33,0.198,96.2,3.8,465,11.3,0.903,0.659,1.33,0.9,,0.187,0.138,0.274,0.00194,0.00143,0.00284,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
239,Aegilops vavilovii,vavilovii_prins,1,0,False,13.3,1.9,3.32,0.197,109,3,363,26.9,0.834,0.598,1.21,0.83,,0.25,0.189,0.352,0.00231,0.00173,0.00325,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
240,T. aestivum SATYN1,aestivumSATYN1_prins,1,0,False,17.6,2.5,3.26,0.194,93.8,3.2,469,11.5,0.925,0.695,1.31,0.93,,0.185,0.14,0.26,0.00197,0.00149,0.00279,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
241,Aegilops juvenalis,juvenalis_prins,1,0,False,20.6,3.8,3.25,0.193,90.4,6.4,492,21.5,0.864,0.591,1.41,0.86,,0.158,0.112,0.251,0.00176,0.00121,0.00286,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
242,Aegilops speltoides,speltoides_prins,1,0,False,16.5,3.2,3.24,0.193,102,5.6,447,11,0.861,0.592,1.42,0.97,,0.196,0.138,0.319,0.00193,0.00133,0.00318,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
243,S. cereale cv. Agronom,cereale_agronom_prins,1,0,False,20.2,2.1,3.23,0.192,91.5,4.1,472,12.9,0.826,0.645,1.08,0.82,,0.16,0.128,0.205,0.00175,0.00137,0.00228,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
244,Aegilops biuncialis,biuncialis_prins,1,0,False,16.8,2.9,3.2,0.19,96.3,4.9,470,15.1,0.932,0.666,1.46,0.93,,0.191,0.139,0.294,0.00198,0.00143,0.00308,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
245,T. monococcum,monococcum_prins,1,0,False,14,2.1,3.18,0.189,104,4.1,401,21.1,0.878,0.642,1.27,0.88,,0.227,0.171,0.325,0.00219,0.00163,0.00315,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
246,Aegilops comosa,comosa_prins,1,0,False,13.5,2.1,2.86,0.17,106,4.3,360,9,0.72,0.531,1.06,0.73,,0.212,0.158,0.306,0.00201,0.00148,0.00292,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
247,Aegilops tauschii,tauschii_prins,1,0,False,14.9,1.8,2.86,0.17,107,8.3,495,27.5,0.893,0.655,1.25,0.89,,0.192,0.15,0.254,0.0018,0.00135,0.0025,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
248,Aegilops uniaristata,uniaristata_prins,1,0,False,13.8,2.3,2.7,0.161,102,1.1,450,18.1,0.87,0.628,1.33,0.98,,0.196,0.143,0.298,0.00193,0.00141,0.00293,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
249,Aegilops triuncialis,triuncialis_prins,1,0,False,12.8,2.2,2.62,0.156,103,5.9,380,8.8,0.763,0.54,1.17,0.76,,0.205,0.15,0.311,0.002,0.00143,0.00308,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
250,B. distachyon,distachyon_prins,1,0,False,11.9,2.5,2.05,0.122,111,4,396,18.8,0.611,0.416,1.04,0.62,,0.172,0.119,0.291,0.00155,0.00106,0.00264,,,25,8.2,1,C3 plants,all wheat variants,Prins 2016,26798025,"Prins, A., Orr, D. J., Andralojc, P. J., Reynolds, M. P., Carmo-Silva, E., and Parry, M. A. J. (2016). Rubisco catalytic properties of wild and domesticated relatives provide scope for improving wheat photosynthesis. J. Exp. Bot. 67, 1827–1838."
251,Synechococcus 6301,6301_wt_read_1992a,1,0,E. coli,175,21,,,40.8,4.1,565,121,,,,,,,,,,,,21.6,3.8,25,8,1,Cyanobacteria,,Read 1992a,1731909,"Read, Betsy A., and F. Robert Tabita. “Amino Acid Substitutions in the Small Subunit of Ribulose-1,5-Bisphosphate Carboxylase/oxygenase That Influence Catalytic Activity of the Holoenzyme.” Biochemistry, vol. 31, no. 2, American Chemical Society, Jan. 1992, pp. 519–25, doi:10.1021/bi00117a031."
252,Synechococcus 6301 F92L,6301_F92L_read_1992a,1,0,E. coli,66,16,,,44.6,4.1,468,36,,,,,,,,,,,,8.5,3.2,25,8,1,Cyanobacteria,,Read 1992a,1731909,"Read, Betsy A., and F. Robert Tabita. “Amino Acid Substitutions in the Small Subunit of Ribulose-1,5-Bisphosphate Carboxylase/oxygenase That Influence Catalytic Activity of the Holoenzyme.” Biochemistry, vol. 31, no. 2, American Chemical Society, Jan. 1992, pp. 519–25, doi:10.1021/bi00117a031."
253,Synechococcus 6301 G91V,6301_G91V_read_1992a,1,0,E. coli,84,4,,,41,4.5,294,29,,,,,,,,,,,,9,5.3,25,8,1,Cyanobacteria,,Read 1992a,1731909,"Read, Betsy A., and F. Robert Tabita. “Amino Acid Substitutions in the Small Subunit of Ribulose-1,5-Bisphosphate Carboxylase/oxygenase That Influence Catalytic Activity of the Holoenzyme.” Biochemistry, vol. 31, no. 2, American Chemical Society, Jan. 1992, pp. 519–25, doi:10.1021/bi00117a031."
254,Synechococcus 6301 I87V,6301_187V_read_1992a,1,0,E. coli,123,42,,,39.5,0.5,474,23,,,,,,,,,,,,31,4.9,25,8,1,Cyanobacteria,,Read 1992a,1731909,"Read, Betsy A., and F. Robert Tabita. “Amino Acid Substitutions in the Small Subunit of Ribulose-1,5-Bisphosphate Carboxylase/oxygenase That Influence Catalytic Activity of the Holoenzyme.” Biochemistry, vol. 31, no. 2, American Chemical Society, Jan. 1992, pp. 519–25, doi:10.1021/bi00117a031."
255,Synechococcus 6301 R88K,6301_R88K_read_1992a,1,0,E. coli,154,2,,,38.5,5.5,1.08e+03,97,,,,,,,,,,,,51.2,3.2,25,8,1,Cyanobacteria,,Read 1992a,1731909,"Read, Betsy A., and F. Robert Tabita. “Amino Acid Substitutions in the Small Subunit of Ribulose-1,5-Bisphosphate Carboxylase/oxygenase That Influence Catalytic Activity of the Holoenzyme.” Biochemistry, vol. 31, no. 2, American Chemical Society, Jan. 1992, pp. 519–25, doi:10.1021/bi00117a031."
256,Cylindrotheca N1,cylindrotheca_N1_read,1,0,False,33,5,0.97,0.0577,107,9.6,631,43,0.174,0.12,0.267,,,0.0293,0.022,0.0425,0.000276,0.000197,0.000418,8.7,0.9,25,8,1,Chromophyte algae,,Read 1992b,1610800,"Read, B. A. & Tabita, F. R. A hybrid ribulose bisphosphate carboxylase/oxygenase enzyme exhibiting a substantial increase in substrate specificity factor. Biochemistry 31, 5553–5560 (1992)."
257,Synechococcus 6301,6301_wt_pBGL710_read,1,0,E. coli,142,1,2.57,0.153,41,4.4,664,82,0.292,0.204,0.414,,,0.0181,0.016,0.0202,0.000442,0.000352,0.000576,21.6,3.8,25,8,1,Cyanobacteria,,Read 1992b,1610800,"Read, B. A. & Tabita, F. R. A hybrid ribulose bisphosphate carboxylase/oxygenase enzyme exhibiting a substantial increase in substrate specificity factor. Biochemistry 31, 5553–5560 (1992)."
260,C. fusiformis,fusiformis_read,1,0,False,36,1,1.95,0.116,111,9,568,99,0.279,0.177,0.4,0.278,,0.0541,0.0472,0.0614,0.00049,0.000401,0.000604,7.8,1.5,25,8,1,Diatoms,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
261,Cylindrotheca N1,cylindrothecaN1_read,1,0,False,31,2,0.78,0.0464,106,6.5,1.29e+03,121,0.307,0.23,0.405,0.308,,0.0251,0.0212,0.0299,0.000238,0.000195,0.000295,8.7,0.9,25,8,1,Diatoms,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
262,Olisthodiscus luteus,luteus_read,1,0,False,59,4,0.83,0.0493,100,5.8,692,121,0.0967,0.0616,0.14,0.0969,,0.0141,0.0119,0.0168,0.000141,0.000115,0.000174,23.5,3,25,8,1,Chromophyte algae,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
263,Porphyridium cruenteum,cruenteum_read,1,0,False,22,2,1.59,0.0945,129,7.5,1.57e+03,292,0.881,0.531,1.32,0.883,,0.0723,0.059,0.0905,0.000562,0.000443,0.000721,3.7,0.4,25,8,1,Rhodophyte algae,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
264,Spinacia oleracea,oleracea_read,1,0,False,,,,,77.2,1.4,,,,,,,,,,,,,,,,25,8,1,C3 plants,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
265,Synechococcus 6301,6301_read,1,0,E. coli,167,2,3.71,0.221,41,4.4,529,14,0.287,0.226,0.375,0.287,,0.0222,0.0196,0.0249,0.000542,0.000434,0.000707,19.2,3.6,25,8,1,Cyanobacteria,,Read 1994,8031129,"Read, B. A., and Tabita, F. R. (1994). High substrate specificity factor ribulose bisphosphate carboxylase/oxygenase from eukaryotic marine algae and properties of recombinant cyanobacterial RubiSCO containing “algal” residue modifications. Arch. Biochem. Biophys. 312, 210–218."
278,Synechococcus 7002,7002_savir,0,0,Meta-analysis,246,20,13.4,0.4,52,2,1.3e+03,130,1.36,1.03,1.77,1.36,,0.0544,0.0464,0.0652,0.00105,0.000878,0.00127,,,25,,1,Cyanobacteria,data from andrews 1985 and then corrected to an updated pKa value. original ref does not measure active site concentration... ,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
279,Synechococcus 6301,6301_savir,0,0,Meta-analysis,340,12,11.6,0.4,43,1,972,26,0.771,0.683,0.871,0.771,,0.0341,0.031,0.0376,0.000793,0.000712,0.000884,,,25,,1,Cyanobacteria,"Sage RF, Seemann JR. Regulation of Ribulose-1,5-Bisphosphate Carboxylase/Oxygenase Activity in Response to Reduced Light Intensity in C4 Plants. Plant Physiol. 1993 May;102(1):21-28.",Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
280,Rhodospirillum rubrum,rubrum_savir,0,0,Meta-analysis,80,11,7.3,0.3,12.3,0.1,406,48,3.02,2.09,4.45,3.01,,0.0913,0.0709,0.127,0.00743,0.00576,0.0103,,,25,,2,Alphaproteobacteria,d13C from tcherkez,Savir 2010 (meta-analysis),20142476,"Savir, Yonatan, Elad Noor, Ron Milo, and Tsvi Tlusty. 2010. “Cross-Species Analysis Traces Adaptation of Rubisco toward Optimality in a Low-Dimensional Landscape.” Proceedings of the National Academy of Sciences of the United States of America 107 (8):3475–80."
